1018路	[45, 100, 91, 48, 35, 27, 30, 27, 20, 36, 50, 67, 47, 32, 17, 4, 0, 0, 0]
浦江4路	[88, 100, 55, 33, 11, 11, 55, 22, 44, 55, 77, 66, 33, 22, 11, 0, 0, 0, 0]
六灶2路	[42, 92, 78, 14, 7, 7, 14, 21, 7, 50, 57, 100, 7, 0, 0, 0, 0, 0, 0]
164路	[46, 100, 75, 21, 9, 9, 12, 12, 12, 37, 59, 81, 50, 9, 9, 9, 0, 0, 9]
浦东9路	[90, 100, 63, 36, 26, 23, 33, 43, 26, 50, 93, 63, 16, 16, 0, 0, 0, 0, 30]
1003路	[34, 100, 81, 37, 25, 15, 16, 14, 15, 30, 33, 49, 48, 27, 1, 0, 0, 0, 0]
795路	[44, 100, 93, 46, 26, 24, 26, 26, 32, 40, 55, 71, 61, 36, 26, 22, 10, 0, 0]
1032路	[15, 63, 100, 26, 7, 9, 5, 4, 7, 12, 37, 61, 37, 10, 0, 0, 0, 0, 0]
1040路	[38, 46, 100, 23, 23, 7, 0, 15, 23, 23, 38, 61, 7, 0, 0, 0, 0, 0, 0]
张南专线	[46, 85, 100, 53, 34, 34, 36, 34, 34, 44, 61, 83, 73, 44, 34, 22, 6, 2, 6]
1054路	[13, 100, 82, 13, 8, 17, 21, 13, 17, 13, 26, 21, 30, 26, 8, 4, 0, 0, 0]
沪南线	[74, 100, 90, 48, 41, 38, 38, 38, 42, 57, 71, 90, 65, 44, 35, 25, 15, 1, 21]
815路	[53, 87, 100, 41, 30, 27, 30, 29, 35, 41, 62, 83, 54, 24, 16, 6, 0, 0, 0]
790路	[44, 92, 100, 53, 36, 36, 42, 40, 38, 51, 65, 90, 82, 55, 30, 19, 13, 1, 7]
161路	[23, 100, 80, 43, 33, 37, 25, 35, 29, 35, 54, 72, 70, 35, 23, 5, 0, 0, 0]
796路	[31, 100, 81, 46, 27, 26, 27, 23, 27, 39, 52, 71, 62, 30, 7, 0, 0, 0, 5]
浦江7路	[91, 100, 41, 25, 8, 25, 16, 8, 25, 16, 33, 41, 8, 0, 0, 0, 0, 0, 0]
798路	[43, 100, 92, 40, 23, 20, 21, 20, 23, 32, 49, 73, 66, 43, 32, 33, 20, 7, 9]
781路	[48, 100, 95, 53, 38, 27, 31, 34, 36, 42, 57, 78, 51, 34, 23, 19, 10, 0, 10]
川白线	[54, 100, 78, 43, 33, 24, 25, 31, 42, 44, 69, 69, 37, 32, 18, 6, 0, 0, 7]
川奉专线	[74, 100, 72, 40, 33, 30, 30, 32, 35, 47, 74, 77, 50, 23, 6, 0, 0, 0, 6]
639路	[48, 81, 78, 48, 32, 27, 27, 24, 29, 40, 62, 100, 89, 32, 29, 24, 13, 0, 10]
1035路	[66, 83, 16, 50, 66, 33, 50, 16, 33, 83, 16, 100, 33, 0, 0, 0, 0, 0, 0]
浦江11路	[49, 100, 69, 26, 19, 18, 19, 15, 14, 28, 37, 50, 86, 80, 48, 34, 29, 9, 0]
大桥六线	[46, 100, 90, 51, 29, 34, 36, 31, 31, 43, 60, 85, 56, 34, 24, 17, 2, 0, 2]
167路	[34, 74, 100, 74, 68, 65, 65, 80, 71, 74, 80, 85, 68, 40, 34, 25, 14, 0, 8]
浦东3路	[74, 100, 62, 30, 23, 13, 20, 20, 25, 34, 81, 65, 58, 23, 11, 6, 0, 0, 16]
惠南5路	[80, 96, 100, 65, 34, 19, 61, 34, 42, 80, 80, 80, 42, 7, 0, 0, 0, 0, 0]
闵行20路	[54, 100, 96, 49, 33, 37, 41, 37, 50, 54, 78, 98, 82, 49, 29, 3, 0, 0, 7]
浦东28路	[0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1007路	[32, 100, 90, 43, 25, 21, 16, 16, 25, 40, 65, 89, 76, 50, 1, 0, 0, 0, 0]
782路	[64, 100, 100, 55, 37, 35, 42, 40, 51, 57, 66, 75, 60, 42, 31, 31, 15, 2, 13]
北蔡2路	[11, 77, 61, 55, 44, 33, 44, 38, 38, 72, 77, 100, 94, 22, 0, 0, 0, 0, 0]
991路	[46, 100, 90, 44, 30, 32, 34, 27, 30, 39, 53, 72, 65, 44, 32, 20, 2, 0, 11]
龙临专线	[84, 100, 68, 50, 40, 37, 40, 46, 43, 59, 96, 84, 50, 15, 3, 0, 0, 0, 25]
惠南10路	[74, 100, 68, 42, 14, 25, 17, 25, 34, 51, 60, 45, 0, 0, 0, 0, 0, 0, 2]
浦东33路	[0, 7, 21, 7, 35, 71, 92, 64, 100, 28, 28, 21, 7, 0, 0, 0, 0, 0, 0]
1043路	[21, 83, 100, 91, 83, 75, 86, 94, 83, 97, 78, 62, 62, 48, 59, 27, 13, 2, 0]
1059路	[100, 52, 0, 5, 0, 10, 5, 5, 21, 21, 84, 36, 15, 0, 0, 0, 0, 0, 0]
浦东30路	[46, 100, 73, 60, 20, 26, 33, 26, 26, 26, 60, 66, 40, 26, 6, 0, 0, 0, 0]
1057路	[12, 79, 84, 28, 28, 19, 16, 13, 17, 46, 57, 100, 30, 15, 6, 5, 0, 0, 0]
1088路	[20, 100, 48, 12, 8, 8, 8, 8, 12, 4, 40, 56, 32, 0, 0, 0, 0, 0, 0]
1102路	[100, 33, 33, 0, 0, 0, 33, 0, 0, 0, 33, 66, 0, 0, 0, 0, 0, 0, 0]
1011路	[12, 87, 100, 45, 29, 22, 25, 29, 25, 52, 64, 70, 52, 4, 0, 0, 0, 0, 0]
82路	[22, 71, 100, 42, 28, 22, 26, 24, 24, 24, 34, 59, 36, 24, 24, 22, 18, 2, 6]
申港1路	[66, 58, 91, 62, 58, 83, 83, 91, 100, 87, 79, 70, 29, 0, 0, 0, 0, 0, 0]
洋山专线区间	[0, 0, 100, 0, 16, 16, 33, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1020路	[0, 40, 80, 20, 13, 0, 0, 0, 26, 33, 33, 100, 0, 0, 0, 0, 0, 0, 0]
周康1路	[71, 100, 84, 43, 28, 28, 28, 15, 18, 25, 78, 78, 59, 18, 0, 0, 0, 0, 0]
1033路	[29, 100, 53, 16, 24, 14, 12, 19, 14, 46, 35, 51, 33, 20, 6, 6, 3, 0, 3]
南新专线	[62, 100, 81, 56, 35, 35, 43, 33, 43, 54, 72, 85, 58, 39, 29, 18, 8, 6, 18]
581路	[51, 100, 91, 48, 37, 30, 32, 30, 28, 33, 42, 51, 67, 39, 25, 26, 19, 3, 7]
